Aakanksha Chowdhery,Google Brain,http://www.achowdhery.com/
Aaron Carroll,Apple,https://www.linkedin.com/in/aaron-carroll-134a18145
Alanson Sample,University of Michigan,http://www.alansonsample.com/
Anthony Rowe,Carnegie Mellon University,https://users.ece.cmu.edu/~agr/
Ardalan Amiri Sani,"University of California, Irvine",https://www.ics.uci.edu/~ardalan/
Aruna Balasubramanian ,Stony Brook University,http://www3.cs.stonybrook.edu/~arunab/
Ashutosh Sabharwal,Rice University,https://www.ece.rice.edu/~ashu/
Bhaskar Krishnamachari,University of Southern California,http://ceng.usc.edu/~bkrishna/
Bo Chen,Meraki,https://www.linkedin.com/in/bo-chen-3872ab2a
Bozidar Radunovic,Microsoft,https://www.microsoft.com/en-us/research/people/bozidar/
Brad Campbell,University of Virgnia,http://www.cs.virginia.edu/~bjc8c/
Chunyi Peng,Purdue University,https://www.cs.purdue.edu/homes/chunyi/
David Chu,Google,http://www.bawakayi.com/davidchu/
Dinesh Bharadia ,"University of California, San Diego",http://web.eng.ucsd.edu/~dineshb/
Domenico Giustiniano,IMDEA Networks,http://people.networks.imdea.org/~domenico_giustiniano/
Ehsan Aryafar,Portland State University,https://www.pdx.edu/computer-science/ehsan-aryafar
Hamed Haddadi,Imperial College London,https://haddadi.github.io/
Heather Zheng,University of Chicago,http://people.cs.uchicago.edu/~htzheng/
Hun Seok Kim,University of Michigan,https://kim.engin.umich.edu/
Ilias Leontiadis,Telefonica Research,http://www.tid.es/research/researchers/ilias-leontiadis
Jantii Riku,Aalto University,https://people.aalto.fi/riku.jantti
Jie Gao,Stony Brook University,http://www3.cs.stonybrook.edu/~jgao/
Joshua Smith,University of Washington,https://sensor.cs.washington.edu/jrs.html
Kamin Whitehouse,University of Virginia,http://www.cs.virginia.edu/~whitehouse/
Kannan Srinivasan,Ohio State University,http://web.cse.ohio-state.edu/~srinivasan.115/
Karthik Dantu,University of Buffalo,https://cse.buffalo.edu/faculty/kdantu/
Karthik Sundaresan,NEC Labs,http://www.nec-labs.com/karthikeyan-sundaresan/
Kassem Fawaz,University of Wisconsin-Madison,https://kassemfawaz.com/
Kate Ching-Ju Lin,National Chiao Tung University,https://people.cs.nctu.edu.tw/~katelin/
Kaushik Chowdhury,Northeastern University,http://krc.coe.neu.edu/
Krishna Chintalapudi,Microsoft,https://www.microsoft.com/en-us/research/people/krchinta/
Lili Qiu,University of Texas at Austin,https://www.cs.utexas.edu/~lili/
Lin Zhong,Rice University,http://www.ruf.rice.edu/~lzhong/
Lu Su,University of Buffalo,https://cse.buffalo.edu/~lusu/
Luca Mottola,"Politecnico di Milano, Italy",https://home.deib.polimi.it/mottola/
Mani Srivastava ,"University of California, Los Angeles",http://nesl.ee.ucla.edu/people/1
Marco Gruteser,Rutgers University,http://www.winlab.rutgers.edu/~gruteser/
Matt Welsh,Google,http://www.mdw.la/
Matthai Philipose,Microsoft,https://www.microsoft.com/en-us/research/people/matthaip/
Mayank Goel,Carnegie Mellon University,http://www.mayankgoel.courses/
Mo Li,Nanyang Technological University,http://www.ntu.edu.sg/home/limo/
Monisha Ghosh,National Science Foundation,https://nsf.gov/staff/staff_bio.jsp?lan=mghosh&org=NSF&from_org=
Morley Mao,University of Michigan,http://web.eecs.umich.edu/~zmao/
Mythili Vutukuru,IIT Bombay,https://www.cse.iitb.ac.in/~mythili/
Neal Patwari,University of Utah,https://faculty.utah.edu/u0544128-Neal_Patwari/hm/index.hml
Nic Lane,University of Oxford,http://niclane.org/
Nilanjan Banerjee,"University of Maryland, Baltimore County",https://www.csee.umbc.edu/~nilanb/
Omid Abari,University of Waterloo,https://cs.uwaterloo.ca/~oabari/index.html
Pengyu Zhang,Alibaba,https://pengyuzhang.github.io/
Peter Steenkiste,Carnegie Mellon University,http://www.cs.cmu.edu/~prs/
Rajalakshmi Nandakumar,University of Washington,http://staff.washington.edu/rajaln/
Ranveer Chandra,Microsoft,https://www.microsoft.com/en-us/research/people/ranveer/
Robert LiKamWa,Arizona State University,http://roblkw.com/
Robin Kravets,University of Illinois at Urbana-Champaign,https://cs.illinois.edu/directory/profile/rhk
Romit Roy Choudhury,University of Illinois at Urbana-Champaign,web.engr.illinois.edu/~croy/
Srdjan Capkun,ETH Zurich,http://www.syssec.ethz.ch/people/capkun.html
Suman Banerjee,University of Wisconsin-Madison,http://pages.cs.wisc.edu/~suman/
Sung-Ju Lee,"Korea Advanced Institute of Science and Technology, South Korea",https://sites.google.com/site/wewantsj/
Sunghyun Choi,Seoul National University,https://sites.google.com/a/mwnl.snu.ac.kr/www/people/sunghyun-choi
Swarun Kumar,Carnegie Mellon University,https://www.andrew.cmu.edu/user/swarunk/
Tam Vu,University of Colorado Boulder,http://mnslab.org/tamvu/
Thyaga Nandagopal,National Science Foundation,https://sites.google.com/site/thyagaresearch/home
Tommaso Melodia,Northeastern University,http://www.ece.neu.edu/wineslab/tmelodia.php
Victor Bahl,Microsoft,https://www.microsoft.com/en-us/research/people/bahl/
Xia Zhou,Dartmouth College,https://www.cs.dartmouth.edu/~xia/
Xiang-Yang Li,Illinois Institute of Technology,http://www.cs.iit.edu/~xli/
Xinbing Wang,Shanghai Jiao Tong University,http://www.cs.sjtu.edu.cn/~wang-xb/
Yasamin Mostofi,"University of California, Santa Barbara",https://www.ece.ucsb.edu/~ymostofi/
Yingying (Jennifer) Chen,Rutgers University,http://www.winlab.rutgers.edu/~yychen/
Yunhao Liu,Tsinghua University,http://www.cse.msu.edu/~liuyunha/